,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7423704755145494,0.5094991364421416,0.7887700534759359,0.6190975865687304,0.8391381849182361
Random Forest,0.7778566359119943,0.5788113695090439,0.5989304812834224,0.5886990801576872,0.8204241907566716
Neural Network,0.7359829666430092,0.5022522522522522,0.5962566844919787,0.5452322738386308,0.7773282699113901
Decision Tree,0.7118523775727467,0.4642857142857143,0.5561497326203209,0.5060827250608273,0.6619184169056291
